"","","Motorway","Urban A","Rural A","total"
"E08000009","bicycle","0","21297.0097591199","2390.94274088008","114008.16"
"E08000010","bicycle","0","15433.6013601522","5193.89913984778","83555.52"
"E08000001","motorcycle","10116.5225","19641.589095659","5706.054904341","76709.6"
"E08000002","motorcycle","12361.455","9131.82565366666","2178.86734633334","50537.6"
"E08000003","motorcycle","11300.6555","29021.3273485273","1327.58315147275","97160.96"
"E08000004","motorcycle","3860.532","10071.416110619","3294.19038938097","37127.52"
"E08000005","motorcycle","11670.729","10563.9321726023","4028.62182739766","47116.16"
"E08000006","motorcycle","19889.3245","20419.6835401117","4394.33045988831","72253.6"
"E08000007","motorcycle","9967.7485","14643.7277178762","2893.64628212378","62776.96"
"E08000008","motorcycle","8491.068","11789.1590871893","2079.12541281074","41637.44"
"E08000009","motorcycle","6658.9505","10898.7218030211","2192.69669697887","53815.52"
"E08000010","motorcycle","12686.0495","20370.7579428615","8487.12755713849","75315.52"
"E08000001","bus","8740.874","36105.3734586314","6017.59754136861","120760"
"E08000002","bus","12097.0855","22720.9647879367","5607.19621206333","88957.6"
"E08000003","bus","12825.297","129386.894173084","2131.6943269157","214014.72"
"E08000004","bus","2996.9785","34180.3816526893","4484.87134731069","76534.08"
"E08000005","bus","13802.694","29406.7660084368","6055.10099156321","83515.36"
"E08000006","bus","15739.822","43017.4673919065","6133.94360809353","99735.04"
"E08000007","bus","7744.4605","30981.9205177348","5801.39248226521","87734.08"
"E08000008","bus","4976.8115","25946.1087276631","3944.61727233691","60347.84"
"E08000009","bus","3615.325","22751.073958808","2856.70554119197","75861.6"
"E08000010","bus","11518.451","40641.2150257661","8964.87647423391","118056.96"
"E08000016","car","2564743.5655","1230790.11748645","1945760.02401355","8608197.28"
"E08000017","car","4922936.405","2285748.20334553","2018530.50995447","13453340.16"
"E08000018","car","3941229.266","1878063.71238451","1402073.97661549","10470004.16"
"E08000019","car","1771119.6125","4247965.81963344","889716.619866561","12430602.08"
"E08000016","lgv","487568.898","218535.746396479","394357.106103521","1680224.8"
"E08000017","lgv","1069655.568","348482.194324465","382618.893875535","2662365.44"
"E08000018","lgv","787712.34","296718.872338405","250414.959661595","2028695.52"
"E08000019","lgv","333398.7015","645603.925698017","134766.256801983","2372199.36"
"E08000016","hgv","338141.3655","48330.4207077758","164964.884792224","613146.72"
"E08000017","hgv","1444541.155","92412.5732700069","208039.045529993","1832455.2"
"E08000018","hgv","797557.777","78619.2888592489","86416.6291407511","1021688.8"
"E08000019","hgv","233222.955","155673.020150571","44132.2868494293","535699.84"
"E08000016","bicycle","0","3068.71010339884","4663.15789660116","137417.6"
"E08000017","bicycle","0","11317.1370381747","5895.87606182529","234832"
"E08000018","bicycle","0","4597.12734795896","2480.80665204104","69739.04"
"E08000019","bicycle","0","23170.9621479199","3946.85885208009","131956"
"E08000016","motorcycle","8215.639","13403.0707392037","20488.2012607963","81020.48"
"E08000017","motorcycle","16879.4615","20081.4304089621","16414.3501910379","109893.44"
"E08000018","motorcycle","12543.955","13307.5786265321","11941.9168734679","80820.8"
"E08000019","motorcycle","6940.694","35439.7412494685","8243.16675053154","122658.56"
"E08000016","bus","10306.9795","21669.4144764286","20203.1665235714","102418.88"
"E08000017","bus","17693.9955","34770.8845657283","20049.3706342717","138195.68"
"E08000018","bus","16214.4315","31027.1872799621","11492.3197200379","112581.6"
"E08000019","bus","7443.445","77738.7865859092","14523.9424140908","201584.32"
"E08000025","car","3635230.202","7764595.3500272","344367.581972798","28191402.4"
"E08000026","car","701432.1435","2393382.16676559","711282.137234415","8944004.64"
"E08000027","car","775748.662","2820584.71557824","254490.472871756","7964044.8"
"E08000028","car","2352153.2575","2710713.94800179","167522.854198215","9143356.48"
"E08000029","car","4271998.2155","1107202.92759004","1153286.67540996","10949494.56"
"E08000030","car","1600941.173","1860110.59239292","411387.702607081","6746752"
"E08000031","car","0","2185453.24339392","60968.0551060777","5605959.84"
"E08000025","lgv","739748.9675","1160362.99691711","52856.6705828944","4462238.08"
"E08000026","lgv","124660.6035","303928.12416611","95976.5338338896","1311239.52"
"E08000027","lgv","167473.899","484885.817568397","41814.5296816033","1504866.24"
"E08000028","lgv","564629.596","526124.495327817","26657.4780721832","1889429.6"
"E08000029","lgv","662900.955","139671.435216152","142236.825783848","1613481.6"
"E08000030","lgv","382127.698","347025.773836798","76004.2256632017","1367423.68"
"E08000031","lgv","0","387586.455933023","9526.31706697654","1061361.92"
"E08000025","hgv","646962.9015","228762.136550053","18732.0264499472","1026516.64"
"E08000026","hgv","160126.084","61737.0529665854","33775.7455334146","300008.8"
"E08000027","hgv","118434.9445","96917.8015471404","12994.6557528596","292144"
"E08000028","hgv","423275.754","143162.458514806","5797.61848519425","630644.96"
"E08000029","hgv","631196.836","38547.0761110855","49612.3593889145","757857.6"
"E08000030","hgv","354442.01","109146.624366084","27809.0771339165","534133.44"
"E08000031","hgv","0","86841.4420811594","1395.66541884056","139744.64"
"E08000025","bicycle","0","33243.1375136776","535.312986322365","345433.92"
"E08000026","bicycle","0","6522.92178793204","1932.12071206796","103706.56"
"E08000027","bicycle","0","11546.4991074715","753.540992528467","81901.12"
"E08000028","bicycle","0","8229.88451603529","347.980483964714","73939.36"
"E08000029","bicycle","0","2096.43882514715","1274.37267485285","87647.2"
"E08000030","bicycle","0","5986.73071342547","1009.51628657453","57189.92"
"E08000031","bicycle","0","8620.02229157798","358.028708422019","71112.48"
"E08000025","motorcycle","14244.8185","54634.33879756","2193.31420244004","230140.96"
"E08000026","motorcycle","2688.8455","16185.1057438203","4210.07225617966","74167.04"
"E08000027","motorcycle","2809.5875","25804.2750152604","2426.87993473959","80834.24"
"E08000028","motorcycle","9679.435","20200.8971094737","1074.81784052631","78746.08"
"E08000029","motorcycle","11944.1505","6387.79490126578","7613.05759873422","69835.84"
"E08000030","motorcycle","6980.26","11933.0992879003","3039.27371209971","56611.52"
"E08000031","motorcycle","0","17451.5154299087","493.746070091271","57804.96"
"E08000025","bus","19510.053","158311.81967279","2479.91482721025","622858.56"
"E08000026","bus","2366.076","25468.719397422","5394.43960257797","169115.84"
"E08000027","bus","2902.261","41555.8023897147","1445.02281028527","117406.72"
"E08000028","bus","8615.606","48317.4132019904","2243.83584800964","130315.68"
"E08000029","bus","15651.6015","11764.0702928231","4939.68020717692","132617.12"
"E08000030","bus","9194.6785","30756.1991526655","5641.0533473345","92755.84"
"E08000031","bus","0","43386.1583353231","2012.50516467694","105577.6"
"E08000032","car","283279.201","3738315.75998372","1424556.89901628","11625110.24"
"E08000033","car","1880169.823","1635356.37179846","1177071.81370154","6851077.6"
"E08000034","car","3769150.746","2989517.0249668","1357779.5955332","12039328.32"
"E08000035","car","8944892.137","7269379.79317147","3295121.67542853","29047986.56"
"E08000036","car","4408289.325","1977172.16530203","2665032.99784798","12592847.52"
"E08000032","lgv","56129.2255","601801.126256216","239258.190243784","2081732.64"
"E08000033","lgv","399175.9355","287778.87963095","225862.88086905","1321456.96"
"E08000034","lgv","792578.4835","547012.88597714","270482.39552286","2359309.12"
"E08000035","lgv","1828474.1795","1252181.8361459","523101.057604103","5092302.08"
"E08000036","lgv","936404.67125","329895.292145031","468164.615354969","2307241.92"
"E08000032","hgv","30979.74","148693.255442994","64660.7785570064","339137.6"
"E08000033","hgv","433479.8765","62453.5081294535","53637.2968705465","577605.76"
"E08000034","hgv","798574.9955","87729.9505425277","40023.0424574723","981717.28"
"E08000035","hgv","1392799.7405","406858.272529493","96661.6510705071","2036065.28"
"E08000036","hgv","955076.79375","63695.4449024352","268158.656897565","1343624.64"
"E08000032","bicycle","0","13649.9603269208","3905.70017307923","80439.84"
"E08000033","bicycle","0","5820.43746014543","5224.17053985457","34019.84"
"E08000034","bicycle","0","13116.7528491997","5291.73015080026","59613.28"
"E08000035","bicycle","0","40427.6316436175","15026.3073563825","191482.56"
"E08000036","bicycle","0","9415.33210847397","6716.37944152602","65030.08"
"E08000032","motorcycle","1050.5795","27821.6906508701","12184.4628491299","112436.64"
"E08000033","motorcycle","5360.2075","12695.7258543227","10378.0776456773","52420.32"
"E08000034","motorcycle","12916.985","24239.6274925593","12787.1040074407","95534.4"
"E08000035","motorcycle","36644.2845","50975.6417681104","28723.5572818896","230042.4"
"E08000036","motorcycle","18588.866","18629.9890534303","27012.2316465697","106821.76"
"E08000032","bus","1289.18","51425.4503653929","12470.8656346071","152230.88"
"E08000033","bus","6669.9005","28182.9732609979","17123.6007390021","78516.64"
"E08000034","bus","14279.3475","44031.3922404552","13154.9827595448","124508.64"
"E08000035","bus","44302.2035","108900.54802209","34720.5535279103","348440.16"
"E08000036","bus","17951.065","29081.9211533125","24468.5939466875","127188"
"E09000001","car","0","389329.406267268","24826.7132327318","673410.08"
"E09000002","car","0","1853213.00854028","162327.868459724","2747875.84"
"E09000003","car","1143725.4925","4658966.66700126","551452.242498737","7924526.24"
"E09000004","car","0","2711981.04010242","366822.64889758","4312095.68"
"E09000005","car","0","2460571.1785","0","4197298.4"
"E09000006","car","0","2383189.47489524","729886.655604763","5868167.84"
"E09000007","car","0","1171847.392","0","2033162.56"
"E09000008","car","0","2530483.68127525","93930.8507247524","5603725.92"
"E09000009","car","0","3734822.0215","0","5784210.24"
"E09000010","car","2158869.953","3360491.85973896","344447.28326104","7190713.92"
"E09000011","car","0","2994652.7355937","121987.437406299","4908224.96"
"E09000012","car","0","1204416.35725749","44845.2352425126","2112461.76"
"E09000013","car","0","1668545.09290642","49438.2210935806","2325300.32"
"E09000014","car","0","1307606.98765413","4100.99484587248","2487805.44"
"E09000015","car","149318.58","1392380.2825","12050.694","2858183.04"
"E09000016","car","2009179.73","1801831.75277325","1133445.24922675","6864796.8"
"E09000017","car","2721541.178","3464695.30181737","295995.255182632","10336125.76"
"E09000018","car","1634356.3025","3396964.80513644","237972.885863561","7402238.56"
"E09000019","car","0","973333.3455","0","1728568.8"
"E09000020","car","0","1447027.77783539","51393.7281646085","2235963.2"
"E09000021","car","0","2712383.69430418","125386.623695821","4475462.24"
"E09000022","car","0","1640972.33239555","24020.931304451","3204433.92"
"E09000023","car","0","1553030.689","0","3513367.04"
"E09000024","car","0","1418416.061","0","2788396.8"
"E09000025","car","0","2723864.82043805","410908.333561953","4213617.6"
"E09000026","car","432398.929","2897336.03321681","840805.006283194","5222522.4"
"E09000027","car","0","1830538.48885231","352502.348147692","3818120.8"
"E09000028","car","0","1481232.73024455","38620.0792554484","3177690.56"
"E09000029","car","0","1099210.786","0","2992374.72"
"E09000030","car","0","2326851.49867628","92751.6783237217","3938132.32"
"E09000031","car","0","2032223.66740056","421274.869599442","3283749.12"
"E09000032","car","0","2267200.62221927","47009.4982807346","3630504.16"
"E09000033","car","0","2356768.26404021","120845.877709786","3612681.76"
"E09000001","lgv","0","89005.5552888717","5432.84746112827","146478.72"
"E09000002","lgv","0","300766.547219054","29441.908280946","460834.88"
"E09000003","lgv","220043.7905","691140.186056908","72145.0034430919","1252764.64"
"E09000004","lgv","0","473249.484607675","81604.8273923253","761220.48"
"E09000005","lgv","0","390586.7555","0","663365.92"
"E09000006","lgv","0","364492.779109914","127241.206890086","971225.6"
"E09000007","lgv","0","229720.853","0","389829.92"
"E09000008","lgv","0","394201.144614077","15054.8133859229","906953.6"
"E09000009","lgv","0","609835.5395","0","956724"
"E09000010","lgv","426834.1025","503028.756944369","57106.1925556314","1223675.04"
"E09000011","lgv","0","595152.976501225","27562.1719987746","934817.6"
"E09000012","lgv","0","245028.183967521","8274.69853247895","426689.76"
"E09000013","lgv","0","309862.276345279","7593.79820472137","442716"
"E09000014","lgv","0","216826.719906729","901.912093271105","455205.76"
"E09000015","lgv","29664.28","143351.0125","1323.198","389166.88"
"E09000016","lgv","399972.475","223682.051855017","217876.041144983","1193608.96"
"E09000017","lgv","372135.458","472181.305400158","40583.0680998424","1505442.88"
"E09000018","lgv","245899.6605","434087.953512817","31246.5679871835","1053570.72"
"E09000019","lgv","0","228094.121","0","375544.96"
"E09000020","lgv","0","274290.250806828","11923.3311931719","440548.48"
"E09000021","lgv","0","377007.811597255","19169.6489027455","660552.8"
"E09000022","lgv","0","349927.661684938","5984.48436506217","666528.48"
"E09000023","lgv","0","249984.8865","0","645701.44"
"E09000024","lgv","0","223648.7495","0","457217.92"
"E09000025","lgv","0","403507.478896878","67361.7931031222","688341.44"
"E09000026","lgv","110464.0015","415264.36593643","134285.58356357","837370.56"
"E09000027","lgv","0","229171.424885772","48628.432614228","529875.36"
"E09000028","lgv","0","330828.515732059","9423.49876794077","675416.96"
"E09000029","lgv","0","151510.405","0","479213.28"
"E09000030","lgv","0","487759.650570639","21687.8584293615","816306.72"
"E09000031","lgv","0","364566.979805305","69376.2276946948","575596.8"
"E09000032","lgv","0","399220.905859966","6029.87064003385","644070.72"
"E09000033","lgv","0","464895.762304872","26261.3995951278","726281.44"
"E09000001","hgv","0","29221.0820751914","1655.92867480857","35098.88"
"E09000002","hgv","0","161807.770433316","17448.9855666836","186666.4"
"E09000003","hgv","91810.7495","218542.891169636","23146.6038303642","346276.32"
"E09000004","hgv","0","139200.105090088","21710.765409912","172586.24"
"E09000005","hgv","0","140509.67","0","157487.68"
"E09000006","hgv","0","67700.167849033","30200.825650967","127118.24"
"E09000007","hgv","0","54716.8215","0","67072.96"
"E09000008","hgv","0","116790.563887169","4101.59711283091","155113.92"
"E09000009","hgv","0","247399.409","0","266493.92"
"E09000010","hgv","467758.5595","196438.51347146","20623.7745285405","696334.88"
"E09000011","hgv","0","172038.299752148","10493.1267478523","199626.72"
"E09000012","hgv","0","75936.7955692715","3038.58293072849","100439.68"
"E09000013","hgv","0","75780.0197345554","1714.59391544464","87607.68"
"E09000014","hgv","0","57095.0337800535","197.264219946535","86435.2"
"E09000015","hgv","10357.605","41898.423","225.57","63878.56"
"E09000016","hgv","510614.0125","78192.1071445158","132945.354855484","743654.4"
"E09000017","hgv","184949.588","171543.853255104","17274.9537448955","416015.36"
"E09000018","hgv","70092.7385","134255.408599714","8383.30640028633","236897.44"
"E09000019","hgv","0","63331.661","0","75193.92"
"E09000020","hgv","0","66838.2083482835","2834.15965171647","81762.08"
"E09000021","hgv","0","86900.1402832365","4773.51521676346","110569.92"
"E09000022","hgv","0","82351.4200057996","1056.25569420037","102956.48"
"E09000023","hgv","0","67907.6295","0","93107.04"
"E09000024","hgv","0","64089.5105","0","81184.96"
"E09000025","hgv","0","173049.842631484","40180.2008685155","238498.24"
"E09000026","hgv","43503.4375","140931.38806251","55390.5049374895","248728"
"E09000027","hgv","0","59913.5203361117","13805.0916638883","92637.28"
"E09000028","hgv","0","80208.4907280284","1214.46827197163","103490.72"
"E09000029","hgv","0","32994.102","0","58104.48"
"E09000030","hgv","0","178871.366398095","5964.56060190492","223532"
